second,Volt,Volt
-32.4000E-03,+2.6810547E+00,+229.5594E-03
-32.2000E-03,+2.6625000E+00,+229.3641E-03
-32.0000E-03,+2.6449219E+00,+228.9734E-03
-31.8000E-03,+2.6273438E+00,+228.3875E-03
-31.6000E-03,+2.6087891E+00,+227.6063E-03
-31.4000E-03,+2.5902344E+00,+227.0203E-03
-31.2000E-03,+2.5726563E+00,+226.0438E-03
-31.0000E-03,+2.5541016E+00,+225.2625E-03
-30.8000E-03,+2.5345703E+00,+224.2859E-03
-30.6000E-03,+2.5140625E+00,+222.7234E-03
-30.4000E-03,+2.4935547E+00,+221.3563E-03
-30.2000E-03,+2.4720703E+00,+219.9891E-03
-30.0000E-03,+2.4496094E+00,+218.4266E-03
-29.8000E-03,+2.4271485E+00,+217.0594E-03
-29.6000E-03,+2.4046875E+00,+215.3016E-03
-29.4000E-03,+2.3822266E+00,+213.7391E-03
-29.2000E-03,+2.3587891E+00,+212.3719E-03
-29.0000E-03,+2.3363281E+00,+210.6141E-03
-28.8000E-03,+2.3128906E+00,+208.4656E-03
-28.6000E-03,+2.2875000E+00,+206.7078E-03
-28.4000E-03,+2.2630860E+00,+204.5594E-03
-28.2000E-03,+2.2396485E+00,+202.6063E-03
-28.0000E-03,+2.2152344E+00,+200.4578E-03
-27.8000E-03,+2.1888672E+00,+197.9188E-03
-27.6000E-03,+2.1634766E+00,+195.5750E-03
-27.4000E-03,+2.1390625E+00,+192.8406E-03
-27.2000E-03,+2.1136719E+00,+190.1063E-03
-27.0000E-03,+2.0892578E+00,+187.3719E-03
-26.8000E-03,+2.0638672E+00,+184.6375E-03
-26.6000E-03,+2.0375000E+00,+181.5125E-03
-26.4000E-03,+2.0111328E+00,+178.3875E-03
-26.2000E-03,+1.9847656E+00,+175.4578E-03
-26.0000E-03,+1.9574219E+00,+172.5281E-03
-25.8000E-03,+1.9291016E+00,+169.4031E-03
-25.6000E-03,+1.9027344E+00,+166.2781E-03
-25.4000E-03,+1.8753906E+00,+163.3484E-03
-25.2000E-03,+1.8480469E+00,+160.2234E-03
-25.0000E-03,+1.8197266E+00,+157.0984E-03
-24.8000E-03,+1.7914063E+00,+153.7781E-03
-24.6000E-03,+1.7630860E+00,+150.6531E-03
-24.4000E-03,+1.7337891E+00,+147.3328E-03
-24.2000E-03,+1.7064453E+00,+144.2078E-03
-24.0000E-03,+1.6771485E+00,+140.8875E-03
-23.8000E-03,+1.6478516E+00,+137.7625E-03
-23.6000E-03,+1.6205078E+00,+134.6375E-03
-23.4000E-03,+1.5941406E+00,+131.5125E-03
-23.2000E-03,+1.5667969E+00,+128.3875E-03
-23.0000E-03,+1.5375000E+00,+125.2625E-03
-22.8000E-03,+1.5091797E+00,+122.1375E-03
-22.6000E-03,+1.4798828E+00,+119.0125E-03
-22.4000E-03,+1.4505860E+00,+115.8875E-03
-22.2000E-03,+1.4222656E+00,+112.5672E-03
-22.0000E-03,+1.3949219E+00,+109.4422E-03
-21.8000E-03,+1.3675781E+00,+106.1219E-03
-21.6000E-03,+1.3412110E+00,+102.8016E-03
-21.4000E-03,+1.3148438E+00,+99.4813E-03
-21.2000E-03,+1.2884766E+00,+96.1609E-03
-21.0000E-03,+1.2601563E+00,+92.8406E-03
-20.8000E-03,+1.2337891E+00,+89.5203E-03
-20.6000E-03,+1.2064453E+00,+86.0047E-03
-20.4000E-03,+1.1771485E+00,+82.2938E-03
-20.2000E-03,+1.1488281E+00,+79.1688E-03
-20.0000E-03,+1.1224610E+00,+75.8484E-03
-19.8000E-03,+1.0951172E+00,+72.9188E-03
-19.6000E-03,+1.0667969E+00,+69.7938E-03
-19.4000E-03,+1.0394531E+00,+66.4734E-03
-19.2000E-03,+1.0140625E+00,+63.3484E-03
-19.0000E-03,+988.6719E-03,+60.2234E-03
-18.8000E-03,+962.3047E-03,+57.0984E-03
-18.6000E-03,+935.9375E-03,+53.9734E-03
-18.4000E-03,+908.5938E-03,+51.0438E-03
-18.2000E-03,+883.2031E-03,+48.3094E-03
-18.0000E-03,+855.8594E-03,+45.3797E-03
-17.8000E-03,+831.4453E-03,+42.6453E-03
-17.6000E-03,+806.0547E-03,+39.5203E-03
-17.4000E-03,+779.6875E-03,+36.5906E-03
-17.2000E-03,+754.2969E-03,+33.6609E-03
-17.0000E-03,+728.9063E-03,+30.5359E-03
-16.8000E-03,+704.4922E-03,+27.6062E-03
-16.6000E-03,+681.0547E-03,+24.6766E-03
-16.4000E-03,+658.5938E-03,+21.9422E-03
-16.2000E-03,+635.1563E-03,+18.8172E-03
-16.0000E-03,+611.7188E-03,+15.8875E-03
-15.8000E-03,+589.2578E-03,+13.1531E-03
-15.6000E-03,+567.7735E-03,+10.4187E-03
-15.4000E-03,+547.2656E-03,+7.4891E-03
-15.2000E-03,+526.7578E-03,+4.5594E-03
-15.0000E-03,+507.2266E-03,+1.6297E-03
