second,Volt,Volt
-6.4000E-03,+2.3490000E+00,-361.3500E-03
-6.2000E-03,+2.3880625E+00,-357.4438E-03
-6.0000E-03,+2.4310312E+00,-353.5375E-03
-5.8000E-03,+2.4740000E+00,-348.4594E-03
-5.6000E-03,+2.5130625E+00,-344.5531E-03
-5.4000E-03,+2.5599375E+00,-339.4750E-03
-5.2000E-03,+2.6029062E+00,-335.1781E-03
-5.0000E-03,+2.6419687E+00,-328.5375E-03
-4.8000E-03,+2.6849375E+00,-324.2406E-03
-4.6000E-03,+2.7279062E+00,-318.7719E-03
-4.4000E-03,+2.7708750E+00,-312.9125E-03
-4.2000E-03,+2.8060312E+00,-307.4438E-03
-4.0000E-03,+2.8490000E+00,-301.5844E-03
-3.8000E-03,+2.8919687E+00,-294.9438E-03
-3.6000E-03,+2.9310312E+00,-288.6938E-03
-3.4000E-03,+2.9661875E+00,-281.2719E-03
-3.2000E-03,+3.0091562E+00,-274.6313E-03
-3.0000E-03,+3.0443125E+00,-267.2094E-03
-2.8000E-03,+3.0833750E+00,-260.1781E-03
-2.6000E-03,+3.1224375E+00,-251.9750E-03
-2.4000E-03,+3.1615000E+00,-244.1625E-03
-2.2000E-03,+3.2005625E+00,-236.7406E-03
-2.0000E-03,+3.2396250E+00,-229.7094E-03
-1.8000E-03,+3.2747812E+00,-221.5063E-03
-1.6000E-03,+3.3099375E+00,-213.6938E-03
-1.4000E-03,+3.3450937E+00,-205.8813E-03
-1.2000E-03,+3.3802500E+00,-197.6781E-03
-1.0000E-03,+3.4193125E+00,-189.0844E-03
-800.0E-06,+3.4505625E+00,-180.4906E-03
-600.0E-06,+3.4857187E+00,-172.2875E-03
-400.0E-06,+3.5247812E+00,-163.6938E-03
-200.0E-06,+3.5599375E+00,-155.1000E-03
