Time (ns)	Amplitude (dB/mm)	
-2.81969120E+000	-9.85618963E+001	
-2.79897790E+000	-9.95013711E+001	
-2.77826459E+000	-9.77393414E+001	
-2.75755129E+000	-9.97726944E+001	
-2.73683798E+000	-1.00032032E+002	
-2.71612468E+000	-9.95186817E+001	
-2.69541137E+000	-9.87334237E+001	
-2.67469807E+000	-9.87532156E+001	
-2.65398476E+000	-1.00800213E+002	
-2.63327145E+000	-9.92011024E+001	
-2.61255815E+000	-1.00792194E+002	
-2.59184484E+000	-9.90743509E+001	
-2.57113154E+000	-1.01762799E+002	
-2.55041823E+000	-1.00088339E+002	
-2.52970493E+000	-9.74214262E+001	
-2.50899162E+000	-1.00277901E+002	
-2.48827832E+000	-9.81882892E+001	
-2.46756501E+000	-9.84347861E+001	
-2.44685171E+000	-9.96710575E+001	
-2.42613840E+000	-9.98211233E+001	
-2.40542510E+000	-9.98088266E+001	
-2.38471179E+000	-9.78477481E+001	
-2.36399849E+000	-9.90743892E+001	
-2.34328518E+000	-1.00004835E+002	
-2.32257187E+000	-9.91484463E+001	
-2.30185857E+000	-9.89900263E+001	
-2.28114526E+000	-1.00893891E+002	
-2.26043196E+000	-9.84417811E+001	
-2.23971865E+000	-1.00069335E+002	
-2.21900535E+000	-9.92752945E+001	
-2.19829204E+000	-9.90338557E+001	
-2.17757874E+000	-1.00009335E+002	
-2.15686543E+000	-9.92550805E+001	
-2.13615213E+000	-1.00587123E+002	
-2.11543882E+000	-9.87166323E+001	
-2.09472552E+000	-9.83186427E+001	
-2.07401221E+000	-1.00252451E+002	
-2.05329891E+000	-9.79640822E+001	
-2.03258560E+000	-9.94772218E+001	
-2.01187229E+000	-1.00219228E+002	
-1.99115899E+000	-9.94779880E+001	
-1.97044568E+000	-9.94789078E+001	
-1.94973238E+000	-9.82230337E+001	
-1.92901907E+000	-1.00216619E+002	
-1.90830577E+000	-9.96818300E+001	
-1.88759246E+000	-9.90473745E+001	
-1.86687916E+000	-9.92283312E+001	
-1.84616585E+000	-9.99809357E+001	
-1.82545255E+000	-9.78238344E+001	
-1.80473924E+000	-9.85428122E+001	
-1.78402594E+000	-1.01326940E+002	
-1.76331263E+000	-9.88707509E+001	
-1.74259933E+000	-9.86271131E+001	
-1.72188602E+000	-9.91206827E+001	
-1.70117272E+000	-9.89614148E+001	
-1.68045941E+000	-9.91527536E+001	
-1.65974610E+000	-9.86632773E+001	
-1.63903280E+000	-9.98390736E+001	
-1.61831949E+000	-1.00787697E+002	
-1.59760619E+000	-9.86809199E+001	
-1.57689288E+000	-9.97952644E+001	
-1.55617958E+000	-9.89567865E+001	
-1.53546627E+000	-1.00847684E+002	
-1.51475297E+000	-9.94324887E+001	
-1.49403966E+000	-9.79670240E+001	
-1.47332636E+000	-1.01006707E+002	
-1.45261305E+000	-1.00458121E+002	
-1.43189975E+000	-9.85549500E+001	
-1.41118644E+000	-9.93842200E+001	
-1.39047314E+000	-9.93379299E+001	
-1.36975983E+000	-1.00558195E+002	
-1.34904652E+000	-9.99014392E+001	
-1.32833322E+000	-9.84343745E+001	
-1.30761991E+000	-9.92757686E+001	
-1.28690661E+000	-1.00005856E+002	
-1.26619330E+000	-9.93209588E+001	
-1.24548000E+000	-9.92784525E+001	
-1.22476669E+000	-9.87083031E+001	
-1.20405339E+000	-9.96257796E+001	
-1.18334008E+000	-9.85295033E+001	
-1.16262678E+000	-9.86226280E+001	
-1.14191347E+000	-1.00914384E+002	
-1.12120017E+000	-9.83774626E+001	
-1.10048686E+000	-9.87880694E+001	
-1.07977356E+000	-9.83506148E+001	
-1.05906025E+000	-9.98719335E+001	
-1.03834694E+000	-9.89972726E+001	
-1.01763364E+000	-1.00734107E+002	
-9.96920334E-001	-9.97187528E+001	
-9.76207029E-001	-9.93311410E+001	
-9.55493724E-001	-9.82316670E+001	
-9.34780418E-001	-1.00181111E+002	
-9.14067113E-001	-9.97719458E+001	
-8.93353808E-001	-9.98698474E+001	
-8.72640502E-001	-1.00073375E+002	
-8.51927197E-001	-9.85441501E+001	
-8.31213892E-001	-1.00253287E+002	
-8.10500586E-001	-9.92488942E+001	
-7.89787281E-001	-9.90629732E+001	
-7.69073976E-001	-9.84278988E+001	
-7.48360671E-001	-9.68625418E+001	
-7.27647365E-001	-9.89395454E+001	
-7.06934060E-001	-1.00217397E+002	
-6.86220755E-001	-9.93968819E+001	
-6.65507449E-001	-9.94731393E+001	
-6.44794144E-001	-9.91277477E+001	
-6.24080839E-001	-9.90428775E+001	
-6.03367533E-001	-9.97148965E+001	
-5.82654228E-001	-9.95195853E+001	
-5.61940923E-001	-9.97515017E+001	
-5.41227617E-001	-1.00498492E+002	
-5.20514312E-001	-9.93210718E+001	
-4.99801007E-001	-1.00061037E+002	
-4.79087701E-001	-9.91148725E+001	
-4.58374396E-001	-9.96649421E+001	
-4.37661091E-001	-1.01162427E+002	
-4.16947785E-001	-9.97044355E+001	
-3.96234480E-001	-9.95440817E+001	
-3.75521175E-001	-9.95140405E+001	
-3.54807869E-001	-9.89826289E+001	
-3.34094564E-001	-9.87808811E+001	
-3.13381259E-001	-9.80047781E+001	
-2.92667954E-001	-9.94288660E+001	
-2.71954648E-001	-9.89535700E+001	
-2.51241343E-001	-1.00512279E+002	
-2.30528038E-001	-9.91499371E+001	
-2.09814732E-001	-9.90518994E+001	
-1.89101427E-001	-9.98985365E+001	
-1.68388122E-001	-9.91328320E+001	
-1.47674816E-001	-9.86616930E+001	
-1.26961511E-001	-1.00194089E+002	
-1.06248206E-001	-9.93653857E+001	
-8.55349003E-002	-1.00408447E+002	
-6.48215950E-002	-1.00095981E+002	
-4.41082897E-002	-9.96038414E+001	
-2.33949844E-002	-9.82684362E+001	
-2.68167905E-003	-6.18568161E+001	
1.80316263E-002	-9.84932469E+001	
3.87449316E-002	-9.94982674E+001	
5.94582369E-002	-9.90203155E+001	
8.01715422E-002	-9.99272927E+001	
1.00884848E-001	-9.89757163E+001	
1.21598153E-001	-9.86118943E+001	
1.42311458E-001	-9.85804200E+001	
1.63024763E-001	-9.77695836E+001	
1.83738069E-001	-9.94786934E+001	
2.04451374E-001	-9.89311741E+001	
2.25164679E-001	-9.89910202E+001	
2.45877985E-001	-9.96938916E+001	
2.66591290E-001	-9.94708653E+001	
2.87304595E-001	-9.82931367E+001	
3.08017901E-001	-1.00581562E+002	
3.28731206E-001	-9.86288190E+001	
3.49444511E-001	-1.00690950E+002	
3.70157817E-001	-9.77281480E+001	
3.90871122E-001	-9.94983904E+001	
4.11584427E-001	-9.71226129E+001	
4.32297733E-001	-9.88545365E+001	
4.53011038E-001	-9.93925703E+001	
4.73724343E-001	-9.84909298E+001	
4.94437649E-001	-9.85581341E+001	
5.15150954E-001	-9.96946045E+001	
5.35864259E-001	-9.93361526E+001	
5.56577565E-001	-9.96891594E+001	
5.77290870E-001	-9.89731657E+001	
5.98004175E-001	-9.86646525E+001	
6.18717481E-001	-9.81282619E+001	
6.39430786E-001	-9.97498563E+001	
6.60144091E-001	-9.85739186E+001	
6.80857396E-001	-9.84535661E+001	
7.01570702E-001	-9.83049311E+001	
7.22284007E-001	-9.89357976E+001	
7.42997312E-001	-9.77892800E+001	
7.63710618E-001	-9.90343986E+001	
7.84423923E-001	-1.00104763E+002	
8.05137228E-001	-9.91309207E+001	
8.25850534E-001	-9.97160711E+001	
8.46563839E-001	-9.84172715E+001	
8.67277144E-001	-9.88789740E+001	
8.87990450E-001	-9.84561496E+001	
9.08703755E-001	-9.82688626E+001	
9.29417060E-001	-9.81845433E+001	
9.50130366E-001	-9.82685880E+001	
9.70843671E-001	-9.89736282E+001	
9.91556976E-001	-9.83243671E+001	
1.01227028E+000	-9.91649723E+001	
1.03298359E+000	-9.85289938E+001	
1.05369689E+000	-9.98110595E+001	
1.07441020E+000	-9.88647254E+001	
1.09512350E+000	-9.96830488E+001	
1.11583681E+000	-9.74046713E+001	
1.13655011E+000	-1.00141096E+002	
1.15726342E+000	-9.89258620E+001	
1.17797672E+000	-9.88251147E+001	
1.19869003E+000	-9.88350132E+001	
1.21940333E+000	-9.84270741E+001	
1.24011664E+000	-9.92001126E+001	
1.26082995E+000	-9.84443145E+001	
1.28154325E+000	-9.94781084E+001	
1.30225656E+000	-9.84734268E+001	
1.32296986E+000	-9.97583224E+001	
1.34368317E+000	-9.82473005E+001	
1.36439647E+000	-9.83537277E+001	
1.38510978E+000	-9.92344173E+001	
1.40582308E+000	-1.00158350E+002	
1.42653639E+000	-9.85481326E+001	
1.44724969E+000	-9.80577430E+001	
1.46796300E+000	-9.84485504E+001	
1.48867630E+000	-9.93161008E+001	
1.50938961E+000	-9.85094691E+001	
1.53010291E+000	-9.83839977E+001	
1.55081622E+000	-9.87951541E+001	
1.57152953E+000	-9.80639692E+001	
1.59224283E+000	-9.86214427E+001	
1.61295614E+000	-9.80899651E+001	
1.63366944E+000	-9.92029054E+001	
1.65438275E+000	-9.86652243E+001	
1.67509605E+000	-9.90128316E+001	
1.69580936E+000	-9.79988030E+001	
1.71652266E+000	-9.78909214E+001	
1.73723597E+000	-9.92117011E+001	
1.75794927E+000	-9.87682823E+001	
1.77866258E+000	-9.86511097E+001	
1.79937588E+000	-9.76807393E+001	
1.82008919E+000	-9.82468652E+001	
1.84080249E+000	-9.78266379E+001	
1.86151580E+000	-9.95400172E+001	
1.88222910E+000	-9.92384190E+001	
1.90294241E+000	-1.00086167E+002	
1.92365572E+000	-9.90435713E+001	
1.94436902E+000	-9.90090966E+001	
1.96508233E+000	-9.82144980E+001	
1.98579563E+000	-9.90843059E+001	
2.00650894E+000	-9.85687854E+001	
2.02722224E+000	-9.96395728E+001	
2.04793555E+000	-9.78152184E+001	
2.06864885E+000	-9.79566051E+001	
2.08936216E+000	-9.76956956E+001	
2.11007546E+000	-9.81525995E+001	
2.13078877E+000	-9.88238191E+001	
2.15150207E+000	-9.97077887E+001	
2.17221538E+000	-9.88183088E+001	
2.19292868E+000	-9.88700738E+001	
2.21364199E+000	-9.82394404E+001	
2.23435530E+000	-9.85983625E+001	
2.25506860E+000	-9.84130938E+001	
2.27578191E+000	-9.79575545E+001	
2.29649521E+000	-9.92065350E+001	
2.31720852E+000	-1.00173921E+002	
2.33792182E+000	-9.81971442E+001	
2.35863513E+000	-9.86784363E+001	
2.37934843E+000	-9.90895933E+001	
2.40006174E+000	-9.84106839E+001	
2.42077504E+000	-9.83065929E+001	
2.44148835E+000	-9.78032859E+001	
2.46220165E+000	-9.90458940E+001	
2.48291496E+000	-9.83685852E+001	
2.50362826E+000	-9.87434752E+001	
2.52434157E+000	-9.92663576E+001	
2.54505488E+000	-9.97017890E+001	
2.56576818E+000	-9.91342228E+001	
2.58648149E+000	-9.87026039E+001	
2.60719479E+000	-9.94199607E+001	
2.62790810E+000	-9.92016763E+001	
2.64862140E+000	-9.92071323E+001	
2.66933471E+000	-9.89279941E+001	
2.69004801E+000	-9.87094869E+001	
2.71076132E+000	-9.89403669E+001	
2.73147462E+000	-9.90668082E+001	
2.75218793E+000	-9.88374321E+001	
2.77290123E+000	-1.00594622E+002	
2.79361454E+000	-9.85557668E+001	
2.81432784E+000	-9.84440229E+001	
2.83504115E+000	-9.94609259E+001	
2.85575445E+000	-9.80881055E+001	
2.87646776E+000	-9.84460865E+001	
2.89718107E+000	-9.89744148E+001	
2.91789437E+000	-9.87892867E+001	
2.93860768E+000	-9.91101856E+001	
2.95932098E+000	-9.86577602E+001	
2.98003429E+000	-1.00436133E+002	
3.00074759E+000	-9.83791291E+001	
3.02146090E+000	-9.94512504E+001	
3.04217420E+000	-9.81119428E+001	
3.06288751E+000	-9.81016304E+001	
3.08360081E+000	-9.87861968E+001	
3.10431412E+000	-1.00228885E+002	
3.12502742E+000	-9.88959336E+001	
3.14574073E+000	-9.98317140E+001	
3.16645403E+000	-9.94828142E+001	
3.18716734E+000	-1.01212700E+002	
3.20788065E+000	-9.99213607E+001	
3.22859395E+000	-9.99880129E+001	
3.24930726E+000	-9.96963285E+001	
3.27002056E+000	-9.84551306E+001	
3.29073387E+000	-9.81531050E+001	
3.31144717E+000	-9.80651126E+001	
3.33216048E+000	-9.96192133E+001	
3.35287378E+000	-9.77153505E+001	
3.37358709E+000	-9.88549591E+001	
3.39430039E+000	-9.79254848E+001	
3.41501370E+000	-9.89263075E+001	
3.43572700E+000	-9.85590549E+001	
3.45644031E+000	-9.86143975E+001	
3.47715361E+000	-9.97804288E+001	
3.49786692E+000	-1.01164757E+002	
3.51858023E+000	-9.99036674E+001	
3.53929353E+000	-1.00140235E+002	
3.56000684E+000	-1.00450403E+002	
3.58072014E+000	-9.99031637E+001	
3.60143345E+000	-9.81372951E+001	
3.62214675E+000	-9.91511776E+001	
3.64286006E+000	-9.83030403E+001	
3.66357336E+000	-9.85720124E+001	
3.68428667E+000	-9.76996659E+001	
3.70499997E+000	-9.87777576E+001	
3.72571328E+000	-9.93534583E+001	
3.74642658E+000	-9.87064041E+001	
3.76713989E+000	-9.80801001E+001	
3.78785319E+000	-9.85893446E+001	
3.80856650E+000	-9.96705490E+001	
3.82927980E+000	-9.85557970E+001	
3.84999311E+000	-9.94532295E+001	
3.87070642E+000	-9.81407293E+001	
