Time (ns)	Amplitude (dB/mm)	
-3.27538392E+000	-9.51781658E+001	
-3.25467061E+000	-9.50498372E+001	
-3.23395731E+000	-9.43915559E+001	
-3.21324400E+000	-9.56915439E+001	
-3.19253070E+000	-9.48114827E+001	
-3.17181739E+000	-9.63404770E+001	
-3.15110409E+000	-9.53763116E+001	
-3.13039078E+000	-9.60048638E+001	
-3.10967748E+000	-9.60145812E+001	
-3.08896417E+000	-9.45365780E+001	
-3.06825087E+000	-9.56961774E+001	
-3.04753756E+000	-9.55459721E+001	
-3.02682426E+000	-9.56309573E+001	
-3.00611095E+000	-9.60854171E+001	
-2.98539764E+000	-9.54511726E+001	
-2.96468434E+000	-9.38969862E+001	
-2.94397103E+000	-9.58915652E+001	
-2.92325773E+000	-9.53594924E+001	
-2.90254442E+000	-9.49352634E+001	
-2.88183112E+000	-9.59652463E+001	
-2.86111781E+000	-9.44249079E+001	
-2.84040451E+000	-9.51710725E+001	
-2.81969120E+000	-9.47150342E+001	
-2.79897790E+000	-9.59067671E+001	
-2.77826459E+000	-9.34187726E+001	
-2.75755129E+000	-9.51975869E+001	
-2.73683798E+000	-9.53957925E+001	
-2.71612468E+000	-9.52725560E+001	
-2.69541137E+000	-9.39015323E+001	
-2.67469807E+000	-9.40203129E+001	
-2.65398476E+000	-9.48252211E+001	
-2.63327145E+000	-9.45558971E+001	
-2.61255815E+000	-9.50254655E+001	
-2.59184484E+000	-9.43638245E+001	
-2.57113154E+000	-9.63880293E+001	
-2.55041823E+000	-9.48298619E+001	
-2.52970493E+000	-9.43162645E+001	
-2.50899162E+000	-9.52322672E+001	
-2.48827832E+000	-9.42324440E+001	
-2.46756501E+000	-9.46342733E+001	
-2.44685171E+000	-9.53394136E+001	
-2.42613840E+000	-9.41241411E+001	
-2.40542510E+000	-9.48553698E+001	
-2.38471179E+000	-9.49121846E+001	
-2.36399849E+000	-9.53656712E+001	
-2.34328518E+000	-9.57057102E+001	
-2.32257187E+000	-9.48374505E+001	
-2.30185857E+000	-9.49919800E+001	
-2.28114526E+000	-9.64679894E+001	
-2.26043196E+000	-9.47233654E+001	
-2.23971865E+000	-9.56792953E+001	
-2.21900535E+000	-9.57918232E+001	
-2.19829204E+000	-9.52494707E+001	
-2.17757874E+000	-9.40744660E+001	
-2.15686543E+000	-9.39443714E+001	
-2.13615213E+000	-9.57263510E+001	
-2.11543882E+000	-9.50854533E+001	
-2.09472552E+000	-9.54835601E+001	
-2.07401221E+000	-9.52886183E+001	
-2.05329891E+000	-9.41021443E+001	
-2.03258560E+000	-9.47972766E+001	
-2.01187229E+000	-9.57687536E+001	
-1.99115899E+000	-9.62407674E+001	
-1.97044568E+000	-9.52657420E+001	
-1.94973238E+000	-9.36270725E+001	
-1.92901907E+000	-9.68587825E+001	
-1.90830577E+000	-9.40823485E+001	
-1.88759246E+000	-9.49836336E+001	
-1.86687916E+000	-9.51410418E+001	
-1.84616585E+000	-9.49329588E+001	
-1.82545255E+000	-9.43187316E+001	
-1.80473924E+000	-9.44917283E+001	
-1.78402594E+000	-9.61660953E+001	
-1.76331263E+000	-9.46288353E+001	
-1.74259933E+000	-9.54396590E+001	
-1.72188602E+000	-9.39870863E+001	
-1.70117272E+000	-9.50066934E+001	
-1.68045941E+000	-9.56155586E+001	
-1.65974610E+000	-9.41592431E+001	
-1.63903280E+000	-9.52530666E+001	
-1.61831949E+000	-9.65864619E+001	
-1.59760619E+000	-9.48752492E+001	
-1.57689288E+000	-9.67559496E+001	
-1.55617958E+000	-9.52246137E+001	
-1.53546627E+000	-9.54957419E+001	
-1.51475297E+000	-9.63830033E+001	
-1.49403966E+000	-9.40547285E+001	
-1.47332636E+000	-9.65479258E+001	
-1.45261305E+000	-9.56475441E+001	
-1.43189975E+000	-9.51268003E+001	
-1.41118644E+000	-9.49429555E+001	
-1.39047314E+000	-9.54286469E+001	
-1.36975983E+000	-9.52479069E+001	
-1.34904652E+000	-9.61546848E+001	
